B1 | src/communication/speaking.ts:171 | stage 1 | must-do | Hear distinguishable syllables over drums and ambience at shipped defaults on both backends; a generated SpeechPlan proves no audible output, and the audio engine and balance.ts are not attached.
B2 | src/communication/speaking.ts:88 | stage 1 | break | The source reports a conservative mixed peak of 1.336 after the speech-bus increase and a missing limiter; output clipping could damage the tonal distinctions the player needs.
B3 | src/communication/speaking.ts:258 | stage 1 | silent | hearUtterance records by distance alone, while phrasePlan can produce silence at zero volume, loudness or syllable duration; recorded speech is not proof that anything was heard.
B4 | src/communication/lexicon.ts:24 | stage 1 | must-do | Distinguish four-syllable high/low patterns and associate the same pattern with speech, written syllables and drums; merely noticing that somebody spoke does not teach a word.
B5 | src/communication/heard.ts:80 | stage 1 | silent | observePhrase records every atom immediately without tracking completed playback; interrupted or partly heard speech can appear fully learned unless the omitted caller accounts for playback.
B6 | src/communication/speechFloor.ts:97 | stage 1 | break | The deadline forces requests through even when another exchange owns the floor or the speaker is blocked; starvation prevention can therefore create overlapping speech or an unreadable teaching moment.
B7 | src/communication/speechFloor.ts:55 | stage 1 | break | holdsFloor ignores the separate consequence reservation; after an ending request releases its situation, a wordless cry can be permitted during a consequence that still blocks other words.
B8 | src/scenes/place/bankGame.ts:4 | stage 2 | must-do | Find the children, hear RIVER while its speaker points at water, and follow their departure to the bank; missing this transition can leave the player searching an empty teaching area.
B9 | src/scenes/place/bankGame.ts:29 | stage 2 | must-do | Distinguish movement with and against visible river flow from both ends of the game; the previously observed direction ambiguity remains unverified because water rendering and camera views are not attached.
B10 | src/scenes/place/bankGame.ts:25 | stage 2 | must-do | See ROCK applied both to a stationary touch and an ordinary climbed boulder; arrivals alone permit plausible but wrong readings such as “safe,” “goal” or “made it.”
B11 | src/scenes/place/bankGame.ts:387 | stage 2 | silent | The off-game boulder lesson can be abandoned after failed approaches or its overtime bound; the game continues while its strongest evidence against interpreting ROCK as “base” disappears.
B12 | src/scenes/place/bankGame.ts:418 | stage 2 | silent | An unreachable tapper opens a run without the ROCK utterance or its teaching hold; advancing run counters do not establish that the stationary rock lesson reached the player.
B13 | src/scenes/place/bankGame.ts:129 | stage 2 | silent | Becoming safe at a rock is separate from reaching hand contact; a missing contact stand or expired arrival approach can leave a successful runner without an audible ROCK result.
B14 | src/scenes/place/bankGame.ts:269 | stage 2 | break | Gather and regroup have timeout exits, so an announcement can precede everybody reaching the intended stations; the player may hear a direction over a spatially incoherent starting arrangement.
